State,Unit Code,Unit Name,Unit Type,Visitors,YearRaw
NH,SAGA,Saint-Gaudens National Historic Site,National Historic Site,37837.0,2013
CA,JOMU,John Muir National Historic Site,National Historic Site,37777.0,2013
MD,MONO,Monocacy National Battlefield,National Battlefield,37647.0,2013
WA,LACH,Lake Chelan National Recreation Area,National Recreation Area,37315.0,2013
AR,ARPO,Arkansas Post National Memorial,National Memorial,36420.0,2013
WV,BLUE,Bluestone National Scenic River,National Scenic River,36266.0,2013
PA,FRHI,Friendship Hill National Historic Site,National Historic Site,34372.0,2013
VT,MABI,Marsh-Billings-Rockefeller National Historical Park,National Historical Park,34112.0,2013
MO,GWCA,George Washington Carver National Monument,National Monument,33061.0,2013
TX,PAAL,Palo Alto Battlefield National Historical Park,National Historical Park,32522.0,2013
NM,PECO,Pecos National Historical Park,National Historical Park,32386.0,2013
MD,HAMP,Hampton National Historic Site,National Historic Site,32262.0,2013
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park,32206.0,2013
CA,RORI,Rosie the Riveter/World War II Home Front National Historical Park,National Historical Park,31514.0,2013
AZ,TUMA,Tumacacori National Historical Park,National Historical Park,31433.0,2013
NY,WORI,Women's Rights National Historical Park,National Historical Park,30137.0,2013
NM,CHCU,Chaco Culture National Historical Park,National Historical Park,29917.0,2013
MO,HSTR,Harry S Truman National Historic Site,National Historic Site,28977.0,2013
VI,BUIS,Buck Island Reef National Monument,National Monument,28972.0,2013
AK,KATM,Katmai National Park,National Park,28966.0,2013
AK,KATM,Katmai National Preserve,National Preserve,28966.0,2013
NM,GICL,Gila Cliff Dwellings National Monument,National Monument,27825.0,2013
KS,FOLS,Fort Larned National Historic Site,National Historic Site,27432.0,2013
KS,FOSC,Fort Scott National Historic Site,National Historic Site,25773.0,2013
LA,CARI,Cane River Creole National Historical Park,National Historical Park,25556.0,2013
UT,HOVE,Hovenweep National Monument,National Monument,24959.0,2013
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument,24836.0,2013
CO,BEOL,Bent's Old Fort National Historic Site,National Historic Site,23324.0,2013
CT,WEFA,Weir Farm National Historic Site,National Historic Site,22862.0,2013
MD,CLBA,Clara Barton National Historic Site,National Historic Site,22737.0,2013
VA,BOWA,Booker T. Washington National Monument,National Monument,22103.0,2013
WA,NOCA,North Cascades National Park,National Park,21623.0,2013
OH,WIHO,William Howard Taft National Historic Site,National Historic Site,21102.0,2013
OH,JAGA,James A. Garfield National Historic Site,National Historic Site,21027.0,2013
ID,HAFO,Hagerman Fossil Beds National Monument,National Monument,21008.0,2013
AL,RUCA,Russell Cave National Monument,National Monument,20456.0,2013
NY,HAGR,Hamilton Grange National Memorial,National Memorial,20429.0,2013
KS,BRVB,Brown v. Board of Education National Historic Site,National Historic Site,19356.0,2013
AL,TUAI,Tuskegee Airmen National Historic Site,National Historic Site,19301.0,2013
NY,THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,19198.0,2013
MT,GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site,18848.0,2013
NY,THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site,18676.0,2013
AK,CAKR,Cape Krusenstern National Monument,National Monument,18225.0,2013
AS,NPSA,National Park of American Samoa,National Park,17919.0,2013
MA,SPAR,Springfield Armory National Historic Site,National Historic Site,17782.0,2013
WY,FOBU,Fossil Butte National Monument,National Monument,17662.0,2013
MA,JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site,17273.0,2013
AK,NOAT,Noatak National Preserve,National Preserve,16907.0,2013
AK,KOVA,Kobuk Valley National Park,National Park,16875.0,2013
MI,ISRO,Isle Royale National Park,National Park,16274.0,2013
NY,MAVA,Martin Van Buren National Historic Site,National Historic Site,16229.0,2013
KS,TAPR,Tallgrass Prairie National Preserve,National Preserve,16128.0,2013
NY,SAHI,Sagamore Hill National Historic Site,National Historic Site,14639.0,2013
ND,KNRI,Knife River Indian Villages National Historic Site,National Historic Site,14476.0,2013
NY,SAPA,Saint Paul's Church National Historic Site,National Historic Site,14016.0,2013
AK,LACL,Lake Clark National Park,National Park,13000.0,2013
AK,LACL,Lake Clark National Preserve,National Preserve,13000.0,2013
ND,FOUS,Fort Union Trading Post National Historic Site,National Historic Site,12908.0,2013
AK,GAAR,Gates of the Arctic National Park,National Park,11012.0,2013
AK,GAAR,Gates of the Arctic National Preserve,National Preserve,11012.0,2013
ME,SACR,Saint Croix Island International Historic Site,International Historic Site,10709.0,2013
NE,AGFO,Agate Fossil Beds National Monument,National Monument,10504.0,2013
OH,FILA,First Ladies National Historic Site,National Historic Site,10068.0,2013
AR,WICL,President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site,9838.0,2013
NM,FOUN,Fort Union National Monument,National Monument,8965.0,2013
OK,WABA,Washita Battlefield National Historic Site,National Historic Site,8434.0,2013
CA,CECH,Casar E. Chpvez National Monument,National Monument,8157.0,2013
MA,SAIR,Saugus Iron Works National Historic Site,National Historic Site,8154.0,2013
AZ,FOBO,Fort Bowie National Historic Site,National Historic Site,8082.0,2013
VA,MAWA,Maggie L. Walker National Historic Site,National Historic Site,7013.0,2013
MA,FRLA,Frederick Law Olmsted National Historic Site,National Historic Site,6570.0,2013
MD,THST,Thomas Stone National Historic Site,National Historic Site,6013.0,2013
PA,EDAL,Edgar Allan Poe National Historic Site,National Historic Site,5884.0,2013
DC,MABE,Mary McLeod Bethune Council House National Historic Site,National Historic Site,5686.0,2013
CO,SAND,Sand Creek Massacre National Historic Site,National Historic Site,4795.0,2013
VI,SARI,Salt River Bay National Historical Park and Ecological Preserve,National Historical Park,4791.0,2013
AK,YUCH,Yukon-Charley Rivers National Preserve,National Preserve,3914.0,2013
KS,NICO,Nicodemus National Historic Site,National Historic Site,3241.0,2013
CA,EUON,Eugene O'Neill National Historic Site,National Historic Site,2929.0,2013
AK,BELA,Bering Land Bridge National Preserve,National Preserve,2642.0,2013
PA,THKO,Thaddeus Kosciuszko National Memorial,National Memorial,1682.0,2013
TX,ALFL,Alibates Flint Quarries National Monument,National Monument,1555.0,2013
TX,RIGR,Rio Grande Wild and Scenic River,Wild and Scenic River,703.0,2013
CA,POCH,Port Chicago Naval Magazine National Memorial,National Memorial,596.0,2013
AK,ANIA,Aniakchak National Monument,National Monument,134.0,2013
AK,ANIA,Aniakchak National Preserve,National Preserve,134.0,2013
DC,WAMO,Washington Monument,National Memorial,0.0,2013
NC,BLRI,Blue Ridge Parkway,Parkway,15205059.0,2012
CA,GOGA,Golden Gate National Recreation Area,National Recreation Area,14540338.0,2012
NC,GRSM,Great Smoky Mountains National Park,National Park,9685829.0,2012
VA,GWMP,George Washington Memorial Parkway,National Parkway,7425577.0,2012
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area,6285439.0,2012
DC,LINC,Lincoln Memorial,National Memorial,6191361.0,2012
MS,NATR,Natchez Trace Parkway,Parkway,5560668.0,2012
NY,GATE,Gateway National Recreation Area,National Recreation Area,5043863.0,2012
FL,GUIS,Gulf Islands National Seashore,National Seashore,4973462.0,2012
PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,4970802.0,2012
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,4712377.0,2012
MA,CACO,Cape Cod National Seashore,National Seashore,4441290.0,2012
DC,VIVE,Vietnam Veterans Memorial,National Memorial,4424407.0,2012
AZ,GRCA,Grand Canyon National Park,National Park,4421352.0,2012
DC,WWII,World War II Memorial,National Memorial,4161685.0,2012
CA,SAFR,San Francisco Maritime National Historical Park,National Historical Park,4129983.0,2012
CA,YOSE,Yosemite National Park,National Park,3853404.0,2012
DC,MLKM,"Martin Luther King, Jr., Memorial",Other Designation,3738336.0,2012
PA,INDE,Independence National Historical Park,National Historical Park,3594549.0,2012
WY,YELL,Yellowstone National Park,National Park,3447729.0,2012
VA,COLO,Colonial National Historical Park,National Historical Park,3274187.0,2012
DC,KOWA,Korean War Veterans Memorial,National Memorial,3267124.0,2012
NY,CACL,Castle Clinton National Monument,National Monument,3264439.0,2012
CO,ROMO,Rocky Mountain National Park,National Park,3229617.0,2012
GA,CHAT,Chattahoochee River National Recreation Area,National Recreation Area,3168137.0,2012
NY,STLI,Statue Of Liberty National Monument,National Monument,3029443.0,2012
UT,ZION,Zion National Park,National Park,2973607.0,2012
WA,OLYM,Olympic National Park,National Park,2824908.0,2012
DC,FRDE,Franklin Delano Roosevelt Memorial,National Memorial,2764459.0,2012
WY,GRTE,Grand Teton National Park,National Park,2705256.0,2012
MA,BOST,Boston National Historical Park,National Historical Park,2629064.0,2012
DC,JEFM,Thomas Jefferson Memorial,National Memorial,2613131.0,2012
MO,JEFF,Jefferson National Expansion Memorial,National Memorial,2496726.0,2012
ME,ACAD,Acadia National Park,National Park,2431052.0,2012
CA,PORE,Point Reyes National Seashore,National Seashore,2412663.0,2012
NC,CAHA,Cape Hatteras National Seashore,National Seashore,2302040.0,2012
OH,CUVA,Cuyahoga Valley National Park,National Park,2299722.0,2012
SD,MORU,Mount Rushmore National Memorial,National Memorial,2185447.0,2012
MT,GLAC,Glacier National Park,National Park,2162035.0,2012
MD,ASIS,Assateague Island National Seashore,National Seashore,2154859.0,2012
UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area,2061328.0,2012
DC,ROCR,Rock Creek Park,Park,2003385.0,2012
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,1935909.0,2012
IN,INDU,Indiana Dunes National Lakeshore,National Lakeshore,1889381.0,2012
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area,1781972.0,2012
HI,VALR,World War II Valor in the Pacific National Monument,National Monument,1751224.0,2012
MI,SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore,1531560.0,2012
CA,FOPO,Fort Point National Historic Site,National Historic Site,1502786.0,2012
OK,CHIC,Chickasaw National Recreation Area,National Recreation Area,1487039.0,2012
HI,HAVO,Hawai'i Volcanoes National Park,National Park,1483928.0,2012
PA,VAFO,Valley Forge National Historical Park,National Historical Park,1442750.0,2012
MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway,1406781.0,2012
CA,JOTR,Joshua Tree National Park,National Park,1396117.0,2012
UT,BRCA,Bryce Canyon National Park,National Park,1385352.0,2012
TX,AMIS,Amistad National Recreation Area,National Recreation Area,1367502.0,2012
AR,HOSP,Hot Springs National Park,National Park,1302505.0,2012
PR,SAJU,San Juan National Historic Site,National Historic Site,1279814.0,2012
VA,SHEN,Shenandoah National Park,National Park,1210200.0,2012
WY,JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,1197750.0,2012
FL,EVER,Everglades National Park,National Park,1141906.0,2012
VA,NERI,New River Gorge National River,National River,1128195.0,2012
PA,GETT,Gettysburg National Military Park,National Military Park,1126577.0,2012
CA,SEQU,Sequoia National Park,National Park,1106584.0,2012
HI,HALE,Haleakala National Park,National Park,1094668.0,2012
AR,BUFF,Buffalo National River,National River,1093083.0,2012
FL,TIMU,Timucuan Ecological and Historic Preserve,Ecological and Historic Preserve,1076310.0,2012
UT,ARCH,Arches National Park,National Park,1070577.0,2012
WA,MORA,Mount Rainier National Park,National Park,1049178.0,2012
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,1032844.0,2012
MA,MIMA,Minute Man National Historical Park,National Historical Park,1001207.0,2012
FL,CANA,Canaveral National Seashore,National Seashore,994430.0,2012
CA,DEVA,Death Valley National Park,National Park,984568.0,2012
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,982324.0,2012
CA,MUWO,Muir Woods National Monument,National Monument,972331.0,2012
SD,BADL,Badlands National Park,National Park,883406.0,2012
FL,BICY,Big Cypress National Preserve,National Preserve,882570.0,2012
CA,CABR,Cabrillo National Monument,National Monument,877951.0,2012
CO,CURE,Curecanti National Recreation Area,National Recreation Area,862612.0,2012
AK,KLGO,Klondike Gold Rush National Historical Park,National Historical Park,854250.0,2012
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park,853998.0,2012
SC,FOSU,Fort Sumter National Monument,National Monument,842027.0,2012
AZ,CACH,Canyon de Chelly National Monument,National Monument,828523.0,2012
CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,814374.0,2012
MA,SAMA,Salem Maritime National Historic Site,National Historic Site,756038.0,2012
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument,744076.0,2012
WA,ROLA,Ross Lake National Recreation Area,National Recreation Area,742200.0,2012
FL,CASA,Castillo de San Marcos National Monument,National Monument,727243.0,2012
GA,MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site,707514.0,2012
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site,701542.0,2012
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site,681404.0,2012
UT,CARE,Capitol Reef National Park,National Park,673345.0,2012
AZ,PEFO,Petrified Forest National Park,National Park,664857.0,2012
DC,WHHO,White House,Other Designation,656949.0,2012
CA,SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area,649471.0,2012
ND,THRO,Theodore Roosevelt National Park,National Park,640555.0,2012
AZ,SAGU,Saguaro National Park,National Park,634286.0,2012
UT,CEBR,Cedar Breaks National Monument,National Monument,631809.0,2012
TX,SAAN,San Antonio Missions National Historical Park,National Historical Park,614810.0,2012
VA,MANA,Manassas National Battlefield Park,National Battlefield Park,600354.0,2012
TN,BISO,Big South Fork National River and Recreation Area,National River and Recreation Area,600161.0,2012
MI,PIRO,Pictured Rocks National Lakeshore,National Lakeshore,593587.0,2012
CA,KICA,Kings Canyon National Park,National Park,591033.0,2012
MS,SHIL,Shiloh National Battlefield,National Battlefield,587620.0,2012
TX,PAIS,Padre Island National Seashore,National Seashore,573855.0,2012
LA,VICK,Vicksburg National Military Park,National Military Park,573262.0,2012
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,562772.0,2012
CA,MOJA,Mojave National Preserve,National Preserve,542527.0,2012
MA,LOWE,Lowell National Historical Park,National Historical Park,537551.0,2012
SD,WICA,Wind Cave National Park,National Park,529083.0,2012
MD,ANTI,Antietam National Battlefield,National Battlefield,510921.0,2012
KY,MACA,Mammoth Cave National Park,National Park,508054.0,2012
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area,502457.0,2012
FL,FOMA,Fort Matanzas National Monument,National Monument,497574.0,2012
FL,BISC,Biscayne National Park,National Park,495613.0,2012
CO,MEVE,Mesa Verde National Park,National Park,488860.0,2012
VI,VIIS,Virgin Islands National Park,National Park,483341.0,2012
NY,FIIS,Fire Island National Seashore,National Seashore,483334.0,2012
NC,CALO,Cape Lookout National Seashore,National Seashore,480294.0,2012
NC,WRBR,Wright Brothers National Memorial,National Memorial,466816.0,2012
AZ,MOCA,Montezuma Castle National Monument,National Monument,455305.0,2012
CO,COLM,Colorado National Monument,National Monument,454510.0,2012
AK,GLBA,Glacier Bay National Park,National Park,454337.0,2012
AK,GLBA,Glacier Bay National Preserve,National Preserve,454337.0,2012
UT,CANY,Canyonlands National Park,National Park,452952.0,2012
NM,WHSA,White Sands National Monument,National Monument,447385.0,2012
OR,CRLA,Crater Lake National Park,National Park,447251.0,2012
HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park,442353.0,2012
FL,DESO,De Soto National Memorial,National Memorial,432981.0,2012
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park,426996.0,2012
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,423107.0,2012
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,419694.0,2012
WY,DETO,Devils Tower National Monument,National Monument,416994.0,2012
CA,LAVO,Lassen Volcanic National Park,National Park,407653.0,2012
MA,BOAF,Boston African American National Historic Site,National Historic Site,404248.0,2012
AK,DENA,Denali National Park,National Park,388433.0,2012
AK,DENA,Denali National Preserve,National Park,388433.0,2012
GA,FOPU,Fort Pulaski National Monument,National Monument,385751.0,2012
NM,CAVE,Carlsbad Caverns National Park,National Park,381058.0,2012
DC,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,371063.0,2012
MD,FOWA,Fort Washington Park,Other Designation,368824.0,2012
CA,REDW,Redwood National Park,National Park,352517.0,2012
NY,GOIS,Governors Island National Monument,National Monument,348249.0,2012
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument,346327.0,2012
MA,ADAM,Adams National Historical Park,National Historical Park,336031.0,2012
FL,FOCA,Fort Caroline National Memorial,National Memorial,327339.0,2012
VA,APCO,Appomattox Court House National Historical Park,National Historical Park,320668.0,2012
PA,FLNI,Flight 93 National Memorial,National Memorial,317926.0,2012
NC,GUCO,Guilford Courthouse National Military Park,National Military Park,313374.0,2012
CO,DINO,Dinosaur National Monument,National Monument,302858.0,2012
IL,LIHO,Lincoln Home National Historic Site,National Historic Site,295464.0,2012
NJ,MORR,Morristown National Historical Park,National Historical Park,294606.0,2012
TX,BIBE,Big Bend National Park,National Park,292055.0,2012
TN,FODO,Fort Donelson National Battlefield,National Battlefield,284762.0,2012
DC,PAAV,Pennsylvania Avenue National Historic Site,National Historic Site,283232.0,2012
NC,FORA,Fort Raleigh National Historic Site,National Historic Site,281833.0,2012
AK,KEFJ,Kenai Fjords National Park,National Park,281279.0,2012
VA,PRWI,Prince William Forest Park,Park,280325.0,2012
MA,NEBE,New Bedford Whaling National Historical Park,National Historical Park,269885.0,2012
SC,KIMO,Kings Mountain National Military Park,National Military Park,265713.0,2012
MD,CATO,Catoctin Mountain Park,Other Designation,263797.0,2012
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park,263105.0,2012
GA,FOFR,Fort Frederica National Monument,National Monument,262235.0,2012
WA,SAJH,San Juan Island National Historical Park,National Historical Park,261139.0,2012
TN,STRI,Stones River National Battlefield,National Battlefield,260537.0,2012
GU,WAPA,War in the Pacific National Historical Park,War in the Pacific,255923.0,2012
PA,UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,255586.0,2012
CO,GRSA,Great Sand Dunes National Park,National Park,254674.0,2012
CO,GRSA,Great Sand Dunes National Preserve,National Preserve,254674.0,2012
CA,CHIS,Channel Islands National Park,National Park,249594.0,2012
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area,245831.0,2012
WA,NEPE,Nez Perce National Historical Park,National Historical Park,233093.0,2012
SC,COWP,Cowpens National Battlefield,National Battlefield,231973.0,2012
CA,PINN,Pinnacles National Park,National Park,224476.0,2012
WI,SACN,Saint Croix National Scenic Riverway,National Scenic Riverway,221028.0,2012
MN,VOYA,Voyageurs National Park,National Park,214841.0,2012
TN,OBRI,Obed Wild and Scenic River,Wild and Scenic River,212446.0,2012
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park,201704.0,2012
AZ,WUPA,Wupatki National Monument,National Monument,201365.0,2012
AL,LIRI,Little River Canyon National Preserve,National Preserve,201109.0,2012
ID,CRMO,Craters of the Moon National Monument,National Monument,197529.0,2012
AK,SITK,Sitka National Historical Park,National Historical Park,195157.0,2012
NY,FOST,Fort Stanwix National Monument,National Monument,195057.0,2012
CO,BLCA,Black Canyon of the Gunnison National Park,National Park,192570.0,2012
VA,PETE,Petersburg National Battlefield,National Battlefield,188426.0,2012
PA,FONE,Fort Necessity National Battlefield,National Battlefield,187893.0,2012
MS,NATC,Natchez National Historical Park,National Historical Park,184551.0,2012
CA,LABE,Lava Beds National Monument,National Monument,181429.0,2012
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument,177793.0,2012
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,169515.0,2012
SD,MNRR,Missouri National Recreation River,National Recreation River,167776.0,2012
MO,WICR,Wilson's Creek National Battlefield,National Battlefield,167205.0,2012
NY,FEHA,Federal Hall National Memorial,National Memorial,167146.0,2012
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore,163419.0,2012
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument,161743.0,2012
TX,GUMO,Guadalupe Mountains National Park,National Park,159360.0,2012
VA,RICH,Richmond National Battlefield Park,National Battlefield Park,156952.0,2012
HI,KAHO,Kaloko-Honokohau National Historical Park,National Historical Park,153584.0,2012
NM,BAND,Bandelier National Monument,National Monument,150289.0,2012
DC,THIS,Theodore Roosevelt Island,National Memorial,149754.0,2012
OR,JODA,John Day Fossil Beds National Monument,National Monument,148152.0,2012
MD,GREE,Greenbelt Park,Other Designation,145552.0,2012
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial,140281.0,2012
PA,ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,138864.0,2012
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,135746.0,2012
TX,BITH,Big Thicket National Preserve,National Preserve,135262.0,2012
VA,GEWA,George Washington Birthplace National Monument,National Monument,134824.0,2012
HI,PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site,134403.0,2012
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial,133550.0,2012
AR,PERI,Pea Ridge National Military Park,National Military Park,131907.0,2012
IA,HEHO,Herbert Hoover National Historic Site,National Historic Site,128812.0,2012
VI,CHRI,Christiansted National Historic Site,National Historic Site,126962.0,2012
IN,GERO,George Rogers Clark National Historical Park,National Historical Park,125972.0,2012
MD,PISC,Piscataway Park,Other Designation,124107.0,2012
PA,JOFL,Johnstown Flood National Memorial,National Memorial,123081.0,2012
GA,ANDE,Andersonville National Historic Site,National Historic Site,122883.0,2012
NE,SCBL,Scotts Bluff National Monument,National Monument,122515.0,2012
GA,OCMU,Ocmulgee National Monument,National Monument,120025.0,2012
NM,PETR,Petroglyph National Monument,National Monument,119444.0,2012
UT,TICA,Timpanogos Cave National Monument,National Monument,118764.0,2012
WV,GARI,Gauley River National Recreation Area,National Recreation Area,115283.0,2012
NM,ELMA,El Malpais National Monument,National Monument,114678.0,2012
TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,110791.0,2012
AZ,WACA,Walnut Canyon National Monument,National Monument,110748.0,2012
SC,CONG,Congaree National Park,National Park,109685.0,2012
SD,JECA,Jewel Cave National Monument,National Monument,109300.0,2012
MN,MISS,Mississippi National River and Recreation Area,National River and Recreation Area,106733.0,2012
PA,STEA,Steamtown National Historic Site,National Historic Site,106309.0,2012
TX,CHAM,Chamizal National Memorial,National Memorial,104148.0,2012
NE,HOME,Homestead National Monument of America,National Monument,103708.0,2012
ID,CIRO,City of Rocks National Reserve,National Reserve,98996.0,2012
AZ,CORO,Coronado National Memorial,National Memorial,97579.0,2012
AZ,TUZI,Tuzigoot National Monument,National Monument,97388.0,2012
NV,GRBA,Great Basin National Park,National Park,94850.0,2012
NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,93429.0,2012
MI,GRPO,Grand Portage National Monument,National Monument,93156.0,2012
NY,GEGR,General Grant National Memorial,National Memorial,92418.0,2012
UT,NABR,Natural Bridges National Monument,National Monument,89011.0,2012
CA,DEPO,Devils Postpile National Monument,National Monument,87845.0,2012
AR,FOSM,Fort Smith National Historic Site,National Historic Site,87386.0,2012
AK,WRST,Wrangell-St. Elias National Park,National Park,87158.0,2012
AK,WRST,Wrangell-St. Elias National Preserve,National Preserve,87158.0,2012
NC,MOCR,Moores Creek National Battlefield,National Battlefield,79345.0,2012
IA,EFMO,Effigy Mounds National Monument,National Monument,78540.0,2012
OR,ORCA,Oregon Caves National Monument and Preserve,National Monument,78164.0,2012
NY,AFBG,African Burial Ground National Monument,National Monument,77624.0,2012
MN,PIPE,Pipestone National Monument,National Monument,76030.0,2012
SD,MIMI,Minuteman Missile National Historic Site,National Historic Site,75654.0,2012
UT,RABR,Rainbow Bridge National Monument,National Monument,75214.0,2012
AZ,HUTR,Hubbell Trading Post National Historic Site,National Historic Site,75061.0,2012
SC,NISI,Ninety Six National Historic Site,National Historic Site,73044.0,2012
CA,MANZ,Manzanar National Historic Site,National Historic Site,72831.0,2012
GA,JICA,Jimmy Carter National Historic Site,National Historic Site,69940.0,2012
AZ,CAGR,Casa Grande Ruins National Monument,National Monument,68631.0,2012
OH,DAAV,Dayton Aviation Heritage National Historical Park,National Historical Park,65999.0,2012
NE,NIOB,Niobrara National Scenic River,National Scenic River,65999.0,2012
AR,CHSC,Little Rock Central High School National Historic Site,National Historic Site,63938.0,2012
CO,FLFO,Florissant Fossil Beds National Monument,National Monument,62637.0,2012
GA,CUIS,Cumberland Island National Seashore,National Seashore,61493.0,2012
WA,WHMI,Whitman Mission National Historic Site,National Historic Site,60785.0,2012
FL,DRTO,Dry Tortugas National Park,National Park,60550.0,2012
HI,KALA,Kalaupapa National Historical Park,National Historical Park,58875.0,2012
AL,HOBE,Horseshoe Bend National Military Park,National Military Park,58668.0,2012
AZ,NAVA,Navajo National Monument,National Monument,58219.0,2012
NY,SARA,Saratoga National Historical Park,National Historical Park,57688.0,2012
WY,FOLA,Fort Laramie National Historic Site,National Historic Site,55199.0,2012
NY,ELRO,Eleanor Roosevelt National Historic Site,National Historic Site,55049.0,2012
AZ,PISP,Pipe Spring National Monument,National Monument,54692.0,2012
DC,FRDO,Frederick Douglass National Historic Site,National Historic Site,53314.0,2012
PA,EISE,Eisenhower National Historic Site,National Historic Site,53286.0,2012
PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site,52870.0,2012
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site,52554.0,2012
MA,LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site,52234.0,2012
RI,ROWI,Roger Williams National Memorial,National Memorial,51944.0,2012
AZ,TONT,Tonto National Monument,National Monument,51881.0,2012
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site,51261.0,2012
MI,RIRA,River Raisin National Battlefield Park,National Battlefield Park,50667.0,2012
NM,CAVO,Capulin Volcano National Monument,National Monument,48710.0,2012
MD,MONO,Monocacy National Battlefield,National Battlefield,47249.0,2012
NM,PECO,Pecos National Historical Park,National Historical Park,45568.0,2012
NM,ELMO,El Morro National Monument,National Monument,44808.0,2012
NM,AZRU,Aztec Ruins National Monument,National Monument,44744.0,2012
SC,CHPI,Charles Pinckney National Historic Site,National Historic Site,44314.0,2012
UT,GOSP,Golden Spike National Historic Site,National Historic Site,42551.0,2012
AZ,CHIR,Chiricahua National Monument,National Monument,41159.0,2012
WA,LACH,Lake Chelan National Recreation Area,National Recreation Area,40830.0,2012
AK,KATM,Katmai National Park,National Park,39818.0,2012
AK,KATM,Katmai National Preserve,National Preserve,39818.0,2012
AR,ARPO,Arkansas Post National Memorial,National Memorial,39703.0,2012
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park,39462.0,2012
MO,ULSG,Ulysses S. Grant National Historic Site,National Historic Site,39373.0,2012
NM,CHCU,Chaco Culture National Historical Park,National Historical Park,39044.0,2012
TX,FODA,Fort Davis National Historic Site,National Historic Site,38136.0,2012
MD,HAMP,Hampton National Historic Site,National Historic Site,37529.0,2012
CA,JOMU,John Muir National Historic Site,National Historic Site,37403.0,2012
WV,BLUE,Bluestone National Scenic River,National Scenic River,36842.0,2012
TX,PAAL,Palo Alto Battlefield National Historical Park,National Historical Park,36707.0,2012
OH,JAGA,James A. Garfield National Historic Site,National Historic Site,36375.0,2012
MT,BIHO,Big Hole National Battlefield,National Battlefield,35207.0,2012
AZ,TUMA,Tumacacori National Historical Park,National Historical Park,35158.0,2012
PA,FRHI,Friendship Hill National Historic Site,National Historic Site,34289.0,2012
NH,SAGA,Saint-Gaudens National Historic Site,National Historic Site,33663.0,2012
KS,FOLS,Fort Larned National Historic Site,National Historic Site,33194.0,2012
VT,MABI,Marsh-Billings-Rockefeller National Historical Park,National Historical Park,32403.0,2012
MO,HSTR,Harry S Truman National Historic Site,National Historic Site,31316.0,2012
AK,NOAT,Noatak National Preserve,National Preserve,31000.0,2012
